id	label	nationality	date_of_birth	year_of_birth	image
Q264290	Mizuho Fukushima	japan	1955-12-24T00:00:00Z	1955	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Mizuho_Fukushima_cropped_Mizuho_Fukushima_Shinjuku_20070610.jpg/200px-Mizuho_Fukushima_cropped_Mizuho_Fukushima_Shinjuku_20070610.jpg
Q265061	Moto Hagio	japan	1949-05-12T00:00:00Z	1949	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Hagio_Moto_in_2008.jpg/200px-Hagio_Moto_in_2008.jpg
Q266873	Yuki Nagasato	japan	1987-07-15T00:00:00Z	1987	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Yūki_Nagasato_2012.jpg/200px-Yūki_Nagasato_2012.jpg
Q275965	Yohei Kajiyama	japan	1985-09-24T00:00:00Z	1985	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Yohei_Kajiyama.jpg/200px-Yohei_Kajiyama.jpg
Q285832	Kokia	japan	1976-07-22T00:00:00Z	1976	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Kokiainconcert.jpg/200px-Kokiainconcert.jpg
Q288114	Joe Odagiri	japan	1976-02-16T00:00:00Z	1976	"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Odagiri_Joe_""Foujita""_at_Opening_Ceremony_of_the_28th_Tokyo_International_Film_Festival_(22265705578).jpg/200px-Odagiri_Joe_""Foujita""_at_Opening_Ceremony_of_the_28th_Tokyo_International_Film_Festival_(22265705578).jpg"
Q292113	Asuna Tanaka	japan	1988-04-23T00:00:00Z	1988	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Asuna_Tanaka_2012_(cropped).jpg/200px-Asuna_Tanaka_2012_(cropped).jpg
Q292331	Ayumi Kaihori	japan	1986-09-04T00:00:00Z	1986	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Ayumi_Kaihori_2015_(cropped).jpg/200px-Ayumi_Kaihori_2015_(cropped).jpg
Q303805	Verbal	japan	1975-08-21T00:00:00Z	1975	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Teriyaki_Boyz_VERBAL_crop.jpg/200px-Teriyaki_Boyz_VERBAL_crop.jpg
Q306665	miwa	japan	1990-06-15T00:00:00Z	1990	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Miwa_on_August_30,_2014.jpg/200px-Miwa_on_August_30,_2014.jpg
